fighter_id,name,nickname,display_name,age,gender,nation,height_cm,weight_class,weight_class_max_kg,camp,style,stance,handedness,personality_tag,career_tier,mental_archetype,punch_power,punch_accuracy,kick_power,kick_accuracy,head_movement,footwork,cardio,takedown_offense,takedown_defense,submission_offense,submission_defense,clinch_striking,clinch_offense,clinch_defense,top_control,bottom_game,cage_wrestling,scramble_ability,fight_iq,adaptability,speed_explosiveness,strength,durability,flexibility,recovery_rate,chin,overall_current,potential,mental_score,personality_aggression,personality_composure,personality_risk_taking,personality_killer_instinct,personality_patience,personality_ego,personality_focus,personality_morale,personality_grit,personality_discipline,personality_ambition,personality_loyalty,personality_charisma,personality_attention_seeking,personality_coachability,personality_professionalism,personality_resilience,personality_sportsmanship,personality_travel_comfort,personality_fatigue_tolerance,suggested_wins,suggested_losses,suggested_draws,suggested_total_fights,suggested_win_pct,promotion_id,promotion_tier,backstory_depth,bio,ref_orig_overall,ref_orig_potential,ref_orig_winpct_from_bio,ref_bio_template_matched
11,Christopher Evans,Loose Mayhem,"Christopher Evans ""Loose Mayhem""",22,male,United States,181,Light Heavyweight,93.0,Alpha Combat,Brawler,orthodox,right,Quiet Professional,Unproven,Steady/Balanced,74,46,54,50,37,39,51,41,47,45,46,51,52,50,50,39,53,48,35,37,53,54,51,45,60,54,48.5,55,58.1,54,67,38,55,66,32,69,48,50,52,45,55,47,32,45,74,53,45,50,45,2,3,0,5,0.4,P4,Tier2_Mid,Minimal - record only,"It's early for Christopher Evans. On a well-regarded mid-tier circuit, and there isn't enough tape yet to know what this becomes. Opponents tend to game-plan around a durable jaw first — raw physical strength is what usually catches them out anyway. Christopher Evans isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. Professionally, Christopher Evans is 2-3 through 5 fights. Too early to know what this career becomes.",46.5,53,0.75,straightforward_prospect_record
12,Benjamin Watson,Total Toolbox,"Benjamin Watson ""Total Toolbox""",37,male,United States,177,Lightweight,70.3,Steel Striking,Balanced,orthodox,right,Quiet Professional,Gatekeeper,Grinder - overperforms tools,55,50,49,50,46,51,50,48,48,51,52,49,50,49,50,46,50,47,59,56,47,51,50,53,42,47,49.8,50,59.2,47,71,44,56,74,33,74,51,51,47,45,46,49,32,52,70,53,49,51,46,15,13,0,28,0.536,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"Benjamin Watson isn't the most gifted athlete on the roster, and it stopped mattering a long time ago — the record speaks for itself. The gameplan usually starts with genuine one-punch power, backed up by a sharp read of opponents mid-fight. Benjamin Watson isn't going to out-talent anybody — the fight IQ and the mental side of the sport close that gap most nights. The record stands at 15-13 across 28 professional fights. A reliable measuring-stick fight for whoever's moving up next.",51.2,54,0.381,record_leads_no_title
13,Jacob Nguyen,Grinder,"Jacob Nguyen ""Grinder""",30,male,United States,178,Welterweight,77.1,Northside Athletic,Wrestler,orthodox,ambidextrous,Calm,Gatekeeper,Grinder - overperforms tools,41,49,40,38,41,41,59,85,75,46,50,46,57,67,80,38,83,61,59,59,56,70,49,44,54,45,55.1,55,58.9,50,71,44,72,72,47,75,46,48,52,45,51,54,46,53,45,55,45,53,53,11,8,1,20,0.55,P6,Tier3_Regional,Standard - career arc + 1-2 highlights,"Jacob Nguyen isn't the most gifted athlete on the roster, and it stopped mattering a long time ago — the record speaks for itself. The gameplan usually starts with takedown defense that frustrates grapplers, backed up by fence-wrestling that wears opponents down. Jacob Nguyen isn't going to out-talent anybody — the fight IQ and the mental side of the sport close that gap most nights. 11-8-1 in 20 fights tells most of the story. Fights on hometown cards far from the big lights, usually across from someone trying to climb past this level.",59.6,81,,crowd_favorite_gatekeeper
14,Daniel Gonzalez,The Cold Trigger,"Daniel Gonzalez ""The Cold Trigger""",36,male,Argentina,174,Middleweight,83.9,Brutal Martial Arts,Striker,orthodox,right,Calm,DecliningVet,Steady/Balanced,61,68,55,66,57,61,59,43,57,44,48,58,52,46,47,48,49,57,70,66,54,58,56,52,55,56,55.5,59,57.8,43,80,46,58,79,49,70,52,54,47,47,53,48,53,51,55,47,50,55,53,26,22,0,48,0.542,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"Daniel Gonzalez has been around long enough to have a signature win and a signature loss — the Middleweight division has mostly moved on since. Opponents tend to game-plan around a scary-accurate jab first — a sharp read of opponents mid-fight is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. The record stands at 26-22 across 48 professional fights. Retirement talk follows, quietly, after every loss now.",45.0,48,,turning_point_decline
15,Eric Ruiz,Wrestler,"Eric Ruiz ""Wrestler""",21,male,United States,179,Featherweight,65.8,Granite Gym,Wrestler,orthodox,right,Showman,Unproven,Steady/Balanced,42,39,28,32,31,38,49,61,57,38,45,37,42,48,59,38,59,43,32,31,45,50,43,36,41,39,42.4,54,53.5,61,54,61,65,41,79,49,46,55,54,54,53,72,80,54,47,50,46,45,50,2,1,0,3,0.667,P7,Tier3_Regional,Minimal - record only,"Eric Ruiz has the look of a fighter who could go either way — the tools are there, the résumé just isn't long enough to say for sure yet. Opponents tend to game-plan around suffocating top position first — a wrestler's knack for putting people on the mat is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 2-1 in 3 fights tells most of the story. Fighting on the regional circuit while the sample size builds.",61.5,68,0.75,early_career_raw
16,Steven Gray,Arsenal,"Steven Gray ""Arsenal""",22,male,United States,182,Lightweight,70.3,Bear Gym,Balanced,orthodox,right,Calm,Unproven,Steady/Balanced,44,46,50,49,42,44,46,51,48,47,43,50,43,52,45,48,48,46,37,50,53,50,51,47,51,52,47.4,59,57.8,41,73,41,53,73,47,74,45,53,51,50,47,53,47,51,55,52,54,48,48,0,1,0,1,0.0,P4,Tier2_Mid,Minimal - record only,"It's early for Steven Gray. On a well-regarded mid-tier circuit, and there isn't enough tape yet to know what this becomes. Opponents tend to game-plan around a chin that's absorbed some heavy shots first — explosive first-step speed is what usually catches them out anyway. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. 0-1. A short professional résumé so far, at 1 fight. Fighting on a well-regarded mid-tier circuit while the sample size builds.",49.0,51,0.333,coinflip_early_career
17,Billy Walker,The No-Days-Off Clocking-In,"Billy Walker ""The No-Days-Off Clocking-In""",25,male,United States,176,Middleweight,83.9,Eastside BJJ,Balanced,orthodox,right,Quiet Professional,Gatekeeper,Grinder - overperforms tools,53,46,40,44,46,44,45,51,44,44,46,50,51,41,51,48,47,54,51,44,60,43,45,47,51,38,47.1,47,61.8,51,73,35,72,71,31,70,51,46,54,55,50,48,27,54,75,50,55,50,50,4,4,0,8,0.5,P5,Tier3_Regional,Standard - career arc + 1-2 highlights,"Billy Walker isn't the most gifted athlete on the roster, and it stopped mattering a long time ago — the record speaks for itself. The gameplan usually starts with explosive first-step speed, backed up by suffocating top position. Discipline and a refusal to have a bad camp go to waste have carried Billy Walker further than raw ability ever would have. 4-4 in 8 fights tells most of the story. A reliable measuring-stick fight for whoever's moving up next.",59.6,81,,crowd_favorite_gatekeeper
18,David Davis,The Almost,"David Davis ""The Almost""",31,male,United States,181,Welterweight,77.1,Valor Conditioning,Counter-Striker,orthodox,right,Aggressive,Contender,Bottler - underperforms tools,76,95,69,78,87,82,68,56,73,55,60,67,58,65,53,53,60,71,92,80,82,70,70,76,75,68,70.7,86,49.6,76,40,68,72,40,59,52,52,45,46,47,50,46,48,46,46,50,45,52,49,14,10,0,24,0.583,P1,Tier1_Large_International,Rich - full title/rivalry history,"David Davis has the tools of a champion and the résumé of a fighter who's fallen just short of one, more than once, at the worst possible time. The gameplan usually starts with a scary-accurate jab, backed up by a sharp read of opponents mid-fight. Camp always talks about the ceiling. Fight night has a habit of talking about something else. The record stands at 14-10 across 24 professional fights. Fighting on the sport's biggest stage, one more big win from a title opportunity.",53.2,65,0.875,record_leads_no_title
19,Patrícia Rezende,Sharp Trigger,"Patrícia Rezende ""Sharp Trigger""",34,female,Brazil,168,Bantamweight,61.2,Cobra Grappling,Striker,orthodox,right,Methodical,DecliningVet,Steady/Balanced,63,70,66,63,60,65,53,48,53,40,45,63,43,55,42,35,49,55,63,60,62,56,58,57,53,63,55.4,63,58.2,48,68,40,63,73,42,80,51,51,54,55,50,47,55,51,54,45,46,47,53,21,15,0,36,0.583,P3,Tier2_Mid,Standard - career arc + 1-2 highlights,"There was a time when Patrícia Rezende felt like a lock for a title run. These days the story is more about staying relevant than climbing back. A scary-accurate jab is the calling card, with genuine one-punch power not far behind. Patrícia Rezende isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 21-15 in 36 fights tells most of the story. Still fighting on a well-regarded mid-tier circuit, on what looks like the back half of a long career.",47.9,58,,faded_contender
20,Brandon Ward,Silent Finisher,"Brandon Ward ""Silent Finisher""",26,male,United Kingdom,180,Welterweight,77.1,Crown Lab,Submission Specialist,orthodox,right,Methodical,Gatekeeper,Steady/Balanced,29,38,24,26,21,37,45,48,35,77,52,26,41,46,54,75,38,72,45,43,35,37,36,45,45,39,42.7,46,56.9,49,64,41,61,70,46,74,46,47,48,49,50,54,50,48,68,45,59,48,53,7,6,0,13,0.538,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"Brandon Ward is the kind of Welterweight fighter every promotion needs — tough enough to matter, unspectacular enough to stay out of the title picture. Suffocating top position is the calling card, with an active, dangerous guard not far behind. Brandon Ward isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 7-6 across 13 professional fights. A reliable measuring-stick fight for whoever's moving up next.",57.7,61,0.667,(none - fallback used)
21,Christine Johnson,Farmer,"Christine Johnson ""Farmer""",32,female,United States,159,Featherweight,65.8,Prime Institute,Wrestler,orthodox,right,Aggressive,Gatekeeper,Steady/Balanced,48,42,32,37,38,37,51,88,56,58,54,48,58,57,73,49,70,63,62,54,64,69,54,42,52,57,54.3,58,56.4,78,44,72,72,36,51,58,51,69,50,46,48,50,49,49,49,60,50,55,54,11,7,2,20,0.55,P8,Tier3_Regional,Standard - career arc + 1-2 highlights,"Christine Johnson won't headline a pay-per-view, but every prospect moving up the Featherweight ranks eventually has to get through a fighter like this. The gameplan usually starts with fence-wrestling that wears opponents down, backed up by a wrestler's knack for putting people on the mat. Christine Johnson isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 11-7-2 in 20 fights tells most of the story. A reliable measuring-stick fight for whoever's moving up next.",55.8,60,0.6,(none - fallback used)
22,Larry Turner,Lock,"Larry Turner ""Lock""",25,male,United States,182,Middleweight,83.9,Coastal Gym,Submission Specialist,orthodox,left,Aggressive,Gatekeeper,Steady/Balanced,39,43,43,39,40,33,50,50,46,74,59,33,54,52,60,79,44,74,52,55,45,50,47,63,53,48,51.0,53,54.1,76,42,75,65,35,56,55,55,55,46,53,55,49,49,49,70,51,64,51,55,4,5,0,9,0.444,P4,Tier2_Mid,Standard - career arc + 1-2 highlights,"Larry Turner won't headline a pay-per-view, but every prospect moving up the Middleweight ranks eventually has to get through a fighter like this. Constant danger on the ground is the calling card, with scrambling that turns bad spots good not far behind. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Professionally, Larry Turner is 4-5 through 9 fights. Fights on a well-regarded mid-tier circuit, usually across from someone trying to climb past this level.",59.2,68,0.538,(none - fallback used)
23,Daniel Flores,The Iron Mat King,"Daniel Flores ""The Iron Mat King""",26,male,United States,185,Featherweight,65.8,Martial Performance,Wrestler,orthodox,right,Methodical,Gatekeeper,Grinder - overperforms tools,45,50,46,42,43,48,49,72,60,45,49,52,62,53,74,53,79,59,45,45,61,61,46,42,57,44,53.2,53,58.8,51,67,48,59,73,50,80,46,52,55,45,51,55,47,53,55,49,52,48,49,7,4,1,12,0.583,P5,Tier3_Regional,Standard - career arc + 1-2 highlights,What Daniel Flores lacks in natural tools gets made up for with a work rate that's worn down more talented opponents than it should. Opponents tend to game-plan around suffocating top position first — fence-wrestling that wears opponents down is what usually catches them out anyway. Daniel Flores isn't going to out-talent anybody — the fight IQ and the mental side of the sport close that gap most nights. The record stands at 7-4-1 across 12 professional fights. A reliable measuring-stick fight for whoever's moving up next.,54.5,52,,stalled_journeyman
24,Alexander Russell,Storm,"Alexander Russell ""Storm""",28,male,United States,187,Light Heavyweight,93.0,Midtown Fight Club,Brawler,orthodox,left,Showman,Gatekeeper,Fragile - fades under pressure,70,63,58,42,47,42,62,47,49,46,53,63,59,53,54,48,57,46,45,46,62,62,72,43,58,51,53.8,54,49.9,63,47,70,61,44,76,49,55,47,46,45,49,75,73,46,55,48,51,48,48,7,16,0,23,0.304,P7,Tier3_Regional,Standard - career arc + 1-2 highlights,"There's a ceiling on what Alexander Russell can do, and it tends to show up right when a fight starts to matter. The gameplan usually starts with a chin that's absorbed some heavy shots, backed up by a scary-accurate jab. Nerves have been a recurring issue — sharp in practice, tight in the cage once the bell rings. 7-16 in 23 fights tells most of the story. A reliable measuring-stick fight for whoever's moving up next.",48.7,65,,unspectacular_filler
25,Gregory Morris,The Complete Toolbox,"Gregory Morris ""The Complete Toolbox""",18,male,United States,185,Middleweight,83.9,Alpha Academy,Balanced,orthodox,right,Calm,Prospect,Steady/Balanced,56,54,50,47,46,53,49,54,52,53,58,49,49,53,48,50,55,53,47,48,60,51,50,57,51,47,51.5,78,56.6,47,75,45,54,79,60,69,53,52,53,47,45,48,62,54,48,48,55,51,49,1,1,0,2,0.5,P1,Tier1_Large_International,Standard - career arc + 1-2 highlights,"Gregory Morris is young enough that the ceiling is still the story — on the sport's biggest stage, the tools already look real. The gameplan usually starts with an unusually flexible frame, backed up by a scramble instinct that survives bad positions. Gregory Morris isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. 1-1. Still just 2 fights into a professional career. On the sport's biggest stage, being moved carefully as the level of competition rises.",64.1,82,0.333,prospect_flameout
26,Charles Russell,Trigger,"Charles Russell ""Trigger""",26,male,United States,186,Light Heavyweight,93.0,Granite Gym,Striker,orthodox,right,Aggressive,Fringe,Steady/Balanced,43,48,32,45,40,46,43,24,40,27,38,42,30,36,29,29,42,35,36,42,47,41,37,36,42,41,38.1,41,53.0,80,36,65,67,39,52,51,48,49,49,46,53,48,52,54,68,50,67,46,49,4,10,0,14,0.286,P6,Tier3_Regional,Minimal - record only,"Not every fighter is a contender. Charles Russell is a Light Heavyweight regular who takes the fights that are available. The gameplan usually starts with pinpoint kicking range, backed up by footwork that's hard to corner. Nothing dramatic to report on the mental side — steady, professional, unremarkable in a good way. Professionally, Charles Russell is 4-10 through 14 fights. A regular presence on regional cards, rarely a headliner.",45.6,48,0.375,(none - fallback used)
27,Ruth Reed,Battle-Worn Exam,"Ruth Reed ""Battle-Worn Exam""",32,female,United States,164,Flyweight,56.7,Spartan Gym,Wrestler,orthodox,right,Calm,Gatekeeper,Steady/Balanced,44,51,40,45,42,43,65,72,62,52,54,51,60,60,68,44,73,56,59,53,53,59,61,37,63,47,54.4,59,57.5,46,79,40,57,70,40,72,45,55,47,48,45,55,47,53,51,46,49,49,47,11,10,0,21,0.524,P4,Tier2_Mid,Standard - career arc + 1-2 highlights,"Ruth Reed won't headline a pay-per-view, but every prospect moving up the Flyweight ranks eventually has to get through a fighter like this. A wrestler's knack for putting people on the mat is the calling card, with fence-wrestling that wears opponents down not far behind. Ruth Reed isn't defined by any single mental edge or flaw — just a professional who shows up and does the job. The record stands at 11-10 across 21 professional fights. Fights on a card that draws real regional attention, usually across from someone trying to climb past this level.",57.7,65,,unspectacular_filler
28,Steven Smith,Trigger,"Steven Smith ""Trigger""",20,male,United States,185,Welterweight,77.1,Southside Martial Arts,Striker,orthodox,right,Quiet Professional,Prospect,Winner - clutch,57,60,52,52,54,53,49,34,42,31,38,48,45,45,37,40,39,46,43,47,54,44,41,47,53,49,46.2,76,59.1,55,71,45,54,68,32,70,53,53,46,53,50,50,32,51,78,50,45,50,46,2,0,0,2,1.0,P1,Tier1_Large_International,Standard - career arc + 1-2 highlights,"Steven Smith is 20 and already fighting like someone who isn't scared of the moment — every step up in competition has gone the same way. Elusive head movement is the calling card, with genuine one-punch power not far behind. When a fight is hanging in the balance late, Steven Smith has historically been the one still finding a home for shots. 2-0. Still just 2 fights into a professional career. Matchmakers are already circling for the next step up.",62.7,88,0.5,prospect_flameout
29,Douglas Gonzalez,Toolbox,"Douglas Gonzalez ""Toolbox""",38,male,United States,175,Bantamweight,61.2,Bear Gym,Balanced,orthodox,ambidextrous,Quiet Professional,DecliningVet,Grinder - overperforms tools,58,61,57,51,55,47,54,61,59,62,64,57,57,56,57,54,61,54,65,65,43,60,48,46,47,58,56.0,56,61.6,45,73,43,53,73,40,74,51,52,55,55,48,42,30,47,86,53,63,52,52,17,23,0,40,0.425,P5,Tier3_Regional,Standard - career arc + 1-2 highlights,"38 years old and still finding ways to win fights the body probably shouldn't allow anymore — Douglas Gonzalez has never relied on being the most talented person in the cage. The ability to change gameplans on the fly is the calling card, with a scramble instinct that survives bad positions not far behind. Douglas Gonzalez isn't going to out-talent anybody — the fight IQ and the mental side of the sport close that gap most nights. 17-23 in 40 fights tells most of the story. Still fighting on the regional circuit, on what looks like the back half of a long career.",60.1,85,,fight_count_defines_veteran
30,Jeremy Williams,The Eel,"Jeremy Williams ""The Eel""",28,male,United States,184,Middleweight,83.9,Harbor Combat,Grappler,orthodox,right,Calm,Elite,Winner - clutch,69,73,66,73,57,66,82,93,87,93,94,73,86,88,97,96,79,98,89,87,82,82,76,88,89,67,81.9,85,60.1,43,74,44,58,75,48,74,49,64,50,52,53,53,55,49,54,58,54,49,52,23,5,0,28,0.821,P1,Tier1_Large_International,Rich - full title/rivalry history,"Jeremy Williams sits at the top of the Middleweight division, and every fight that's mattered has confirmed it belongs there. The gameplan usually starts with scrambling that turns bad spots good, backed up by a scramble instinct that survives bad positions. When a fight is hanging in the balance late, Jeremy Williams has historically been the one still finding a home for shots. The record stands at 23-5 across 28 professional fights. Currently signed with in the deepest, most dangerous division there is, with the next challenger to be decided.",58.1,82,0.833,champion_days_defenses
